ID,Name,Parents,Spouse
1,Elizabeth,,2
2,Phillip,,1
3,Charles,1;2,4
4,Diana,,3
5,Anne,1;2,6
6,Mark,,5
7,Andrew,1;2,8
8,Sarah,,7
9,Edward,1;2,10
10,Sophie,,9
11,William,3;4,12
12,Catherine,,11
13,Harry,3;4,14
14,Meghan,,13
15,Peter,5;6,16
16,Autumn,,15
17,Zara,5;6,17
18,Mike,,18
19,Beatrice,7;8,20
20,Edoardo,,19
21,Eugenie,7;8,22
22,Jack,,21
23,Louise,9;10,
24,James,9;10,
25,George,11;12,
26,Charlotte,11;12,
27,Louise,11;12,
28,Archie,13;14,
29,Savannah,15;16,
30,Isla,15;16,
31,Mia,17;18,
32,Lena,17;18,
